Country;Code;Year;Electricity generation (TWh)
Brunei;BRN;2000;2.390000105
Brunei;BRN;2001;2.420000076
Brunei;BRN;2002;2.539999962
Brunei;BRN;2003;3
Brunei;BRN;2004;3.069999933
Brunei;BRN;2005;3.069999933
Brunei;BRN;2006;3.099999905
Brunei;BRN;2007;3.190000057
Brunei;BRN;2008;3.220000029
Brunei;BRN;2009;3.390000105
Brunei;BRN;2010;3.569999933
Brunei;BRN;2011;3.5
Brunei;BRN;2012;3.700000048
Brunei;BRN;2013;4.139999866
Brunei;BRN;2014;4.239999771
Brunei;BRN;2015;3.940000057
Brunei;BRN;2016;4.010000229
Brunei;BRN;2017;3.910000086
Brunei;BRN;2018;4.039999962
Brunei;BRN;2019;4.639999866
Brunei;BRN;2020;4.400000095
Cambodia;KHM;2000;0.469999999
Cambodia;KHM;2001;0.50999999
Cambodia;KHM;2002;0.689999998
Cambodia;KHM;2003;0.709999979
Cambodia;KHM;2004;0.75999999
Cambodia;KHM;2005;0.899999976
Cambodia;KHM;2006;1.110000014
Cambodia;KHM;2007;1.409999967
Cambodia;KHM;2008;1.389999986
Cambodia;KHM;2009;1.179999948
Cambodia;KHM;2010;0.939999998
Cambodia;KHM;2011;0.99000001
Cambodia;KHM;2012;1.370000005
Cambodia;KHM;2013;1.720000029
Cambodia;KHM;2014;2.970000029
Cambodia;KHM;2015;4.230000019
Cambodia;KHM;2016;5.389999866
Cambodia;KHM;2017;6.71999979
Cambodia;KHM;2018;7.929999828
Cambodia;KHM;2019;8.399999619
Cambodia;KHM;2020;7.650000095
Indonesia;IDN;1985;16.36899948
Indonesia;IDN;1986;18.41500092
Indonesia;IDN;1987;20.71999931
Indonesia;IDN;1988;24.80699921
Indonesia;IDN;1989;28.48699951
Indonesia;IDN;1990;33.11471939
Indonesia;IDN;1991;38.10263062
Indonesia;IDN;1992;40.28435135
Indonesia;IDN;1993;39.70743179
Indonesia;IDN;1994;45.92842102
Indonesia;IDN;1995;54.12052917
Indonesia;IDN;1996;58.8677597
Indonesia;IDN;1997;70.69101715
Indonesia;IDN;1998;76.69271088
Indonesia;IDN;1999;83.97097015
Indonesia;IDN;2000;93.32640076
Indonesia;IDN;2001;101.6585999
Indonesia;IDN;2002;108.2167969
Indonesia;IDN;2003;112.9754028
Indonesia;IDN;2004;120.1505966
Indonesia;IDN;2005;127.5607986
Indonesia;IDN;2006;133.110199
Indonesia;IDN;2007;142.4410248
Indonesia;IDN;2008;149.4365387
Indonesia;IDN;2009;156.797226
Indonesia;IDN;2010;169.7862396
Indonesia;IDN;2011;183.4187317
Indonesia;IDN;2012;200.3401337
Indonesia;IDN;2013;216.1885529
Indonesia;IDN;2014;228.5556488
Indonesia;IDN;2015;233.9819794
Indonesia;IDN;2016;247.9178009
Indonesia;IDN;2017;254.6599731
Indonesia;IDN;2018;283.7709656
Indonesia;IDN;2019;295.4492798
Indonesia;IDN;2020;291.8299561
Indonesia;IDN;2021;309.3516235
Laos;LAO;2000;3.630000114
Laos;LAO;2001;3.650000095
Laos;LAO;2002;3.549999952
Laos;LAO;2003;3.130000114
Laos;LAO;2004;3
Laos;LAO;2005;3.50999999
Laos;LAO;2006;3.599999905
Laos;LAO;2007;3.369999886
Laos;LAO;2008;3.720000029
Laos;LAO;2009;3.369999886
Laos;LAO;2010;8.359999657
Laos;LAO;2011;12.84000015
Laos;LAO;2012;12.93000031
Laos;LAO;2013;15.35999966
Laos;LAO;2014;15.13000011
Laos;LAO;2015;16.03000069
Laos;LAO;2016;25.02000046
Laos;LAO;2017;30.20000076
Laos;LAO;2018;33.45999908
Laos;LAO;2019;30.13999939
Laos;LAO;2020;29.96999931
Malaysia;MYS;1985;14.94400024
Malaysia;MYS;1986;16.13100052
Malaysia;MYS;1987;17.42099953
Malaysia;MYS;1988;19.35199928
Malaysia;MYS;1989;21.51499939
Malaysia;MYS;1990;23.01600075
Malaysia;MYS;1991;26.55200005
Malaysia;MYS;1992;31.38110733
Malaysia;MYS;1993;34.87734985
Malaysia;MYS;1994;39.7542038
Malaysia;MYS;1995;46.57450104
Malaysia;MYS;1996;53.40937424
Malaysia;MYS;1997;59.93525314
Malaysia;MYS;1998;64.14126587
Malaysia;MYS;1999;68.16970062
Malaysia;MYS;2000;69.90527344
Malaysia;MYS;2001;75.77568817
Malaysia;MYS;2002;80.87999725
Malaysia;MYS;2003;83.30000305
Malaysia;MYS;2004;96.05999756
Malaysia;MYS;2005;98.75
Malaysia;MYS;2006;103.9940033
Malaysia;MYS;2007;108.5390015
Malaysia;MYS;2008;113.822998
Malaysia;MYS;2009;116.1139984
Malaysia;MYS;2010;125.0449982
Malaysia;MYS;2011;127.0690002
Malaysia;MYS;2012;134.0769958
Malaysia;MYS;2013;140.9850159
Malaysia;MYS;2014;147.4609985
Malaysia;MYS;2015;150.1230011
Malaysia;MYS;2016;156.6649933
Malaysia;MYS;2017;160.6340027
Malaysia;MYS;2018;170.5780029
Malaysia;MYS;2019;178.4929962
Malaysia;MYS;2020;169.5052643
Malaysia;MYS;2021;177.2456665
Myanmar;MMR;2000;4.889999866
Myanmar;MMR;2001;4.489999771
Myanmar;MMR;2002;4.980000019
Myanmar;MMR;2003;5.369999886
Myanmar;MMR;2004;5.389999866
Myanmar;MMR;2005;5.809999943
Myanmar;MMR;2006;5.96999979
Myanmar;MMR;2007;6.190000057
Myanmar;MMR;2008;6.429999828
Myanmar;MMR;2009;6.800000191
Myanmar;MMR;2010;7.340000153
Myanmar;MMR;2011;9.640000343
Myanmar;MMR;2012;10.48999977
Myanmar;MMR;2013;11.96000004
Myanmar;MMR;2014;13.76000023
Myanmar;MMR;2015;15.5
Myanmar;MMR;2016;17.30999947
Myanmar;MMR;2017;21.70999908
Myanmar;MMR;2018;23.78000069
Myanmar;MMR;2019;24.87999916
Myanmar;MMR;2020;23.23999977
Philippines;PHL;1985;22.76600075
Philippines;PHL;1986;20.97400093
Philippines;PHL;1987;22.6420002
Philippines;PHL;1988;24.53899956
Philippines;PHL;1989;25.57299995
Philippines;PHL;1990;26.32699966
Philippines;PHL;1991;25.64900017
Philippines;PHL;1992;25.87000084
Philippines;PHL;1993;26.57900047
Philippines;PHL;1994;30.45899963
Philippines;PHL;1995;33.55400085
Philippines;PHL;1996;36.70700073
Philippines;PHL;1997;39.79700089
Philippines;PHL;1998;41.57799911
Philippines;PHL;1999;41.43199921
Philippines;PHL;2000;45.29000092
Philippines;PHL;2001;47.04899979
Philippines;PHL;2002;48.46743774
Philippines;PHL;2003;52.9405365
Philippines;PHL;2004;55.95743179
Philippines;PHL;2005;56.56774139
Philippines;PHL;2006;56.7841301
Philippines;PHL;2007;59.6117897
Philippines;PHL;2008;60.82098389
Philippines;PHL;2009;61.93443298
Philippines;PHL;2010;67.7427597
Philippines;PHL;2011;69.17565155
Philippines;PHL;2012;72.92201233
Philippines;PHL;2013;75.26583862
Philippines;PHL;2014;77.26099396
Philippines;PHL;2015;82.41321564
Philippines;PHL;2016;90.79788971
Philippines;PHL;2017;94.37033844
Philippines;PHL;2018;99.7647171
Philippines;PHL;2019;106.0414886
Philippines;PHL;2020;101.755722
Philippines;PHL;2021;108.2670364
Singapore;SGP;1985;9.876299858
Singapore;SGP;1986;10.57649994
Singapore;SGP;1987;11.81379986
Singapore;SGP;1988;13.01749992
Singapore;SGP;1989;14.03890038
Singapore;SGP;1990;15.61760044
Singapore;SGP;1991;16.59659958
Singapore;SGP;1992;17.54310036
Singapore;SGP;1993;18.96240044
Singapore;SGP;1994;20.67539978
Singapore;SGP;1995;22.05739975
Singapore;SGP;1996;23.90940094
Singapore;SGP;1997;26.70940018
Singapore;SGP;1998;28.37479973
Singapore;SGP;1999;29.52000046
Singapore;SGP;2000;31.66500092
Singapore;SGP;2001;33.06100082
Singapore;SGP;2002;34.66460037
Singapore;SGP;2003;35.28150177
Singapore;SGP;2004;36.80960083
Singapore;SGP;2005;38.21269989
Singapore;SGP;2006;39.48040009
Singapore;SGP;2007;41.13410187
Singapore;SGP;2008;41.67059708
Singapore;SGP;2009;41.80183029
Singapore;SGP;2010;45.36916351
Singapore;SGP;2011;46.0043335
Singapore;SGP;2012;46.94423294
Singapore;SGP;2013;47.97585297
Singapore;SGP;2014;49.33686829
Singapore;SGP;2015;50.32025528
Singapore;SGP;2016;51.58660126
Singapore;SGP;2017;52.22529984
Singapore;SGP;2018;52.90459824
Singapore;SGP;2019;54.14229965
Singapore;SGP;2020;53.07158661
Singapore;SGP;2021;55.7882843
Thailand;THA;1985;23.02994919
Thailand;THA;1986;24.66980934
Thailand;THA;1987;28.57361031
Thailand;THA;1988;32.41323853
Thailand;THA;1989;37.3533783
Thailand;THA;1990;44.11251068
Thailand;THA;1991;50.12039185
Thailand;THA;1992;57.02814865
Thailand;THA;1993;63.33732986
Thailand;THA;1994;71.10243225
Thailand;THA;1995;79.73721313
Thailand;THA;1996;86.99163055
Thailand;THA;1997;92.66127777
Thailand;THA;1998;89.53301239
Thailand;THA;1999;90.21528625
Thailand;THA;2000;95.52127075
Thailand;THA;2001;100.9871902
Thailand;THA;2002;108.4416885
Thailand;THA;2003;115.9346237
Thailand;THA;2004;124.1326599
Thailand;THA;2005;130.4263153
Thailand;THA;2006;136.7667084
Thailand;THA;2007;142.5375366
Thailand;THA;2008;145.4373627
