Entity;Code;Year;Per capita electricity (kWh)
Brunei;BRN;2000;7157.039063
Brunei;BRN;2001;7101.793457
Brunei;BRN;2002;7309.983398
Brunei;BRN;2003;8473.40332
Brunei;BRN;2004;8516.611328
Brunei;BRN;2005;8371.326172
Brunei;BRN;2006;8315.138672
Brunei;BRN;2007;8422.198242
Brunei;BRN;2008;8372.791992
Brunei;BRN;2009;8685.137695
Brunei;BRN;2010;9013.694336
Brunei;BRN;2011;8716.984375
Brunei;BRN;2012;9099.024414
Brunei;BRN;2013;10055.76758
Brunei;BRN;2014;10175.91797
Brunei;BRN;2015;9348.699219
Brunei;BRN;2016;9413.124023
Brunei;BRN;2017;9086.895508
Brunei;BRN;2018;9302.689453
Brunei;BRN;2019;10592.20508
Brunei;BRN;2020;9960.700195
Cambodia;KHM;2000;38.78257751
Cambodia;KHM;2001;41.33504868
Cambodia;KHM;2002;54.92850876
Cambodia;KHM;2003;55.52204132
Cambodia;KHM;2004;58.38798141
Cambodia;KHM;2005;67.94202423
Cambodia;KHM;2006;82.35777283
Cambodia;KHM;2007;102.8086624
Cambodia;KHM;2008;99.68518829
Cambodia;KHM;2009;83.35839844
Cambodia;KHM;2010;65.44350433
Cambodia;KHM;2011;67.92967987
Cambodia;KHM;2012;92.65113831
Cambodia;KHM;2013;114.6690292
Cambodia;KHM;2014;195.2557983
Cambodia;KHM;2015;274.3630676
Cambodia;KHM;2016;344.9691162
Cambodia;KHM;2017;424.4918213
Cambodia;KHM;2018;494.8442993
Cambodia;KHM;2019;518.2706909
Cambodia;KHM;2020;466.5526123
Indonesia;IDN;1985;98.73232269
Indonesia;IDN;1986;108.8773499
Indonesia;IDN;1987;120.1707001
Indonesia;IDN;1988;141.1938324
Indonesia;IDN;1989;159.1904602
Indonesia;IDN;1990;181.7893066
Indonesia;IDN;1991;205.5587921
Indonesia;IDN;1992;213.6438904
Indonesia;IDN;1993;207.0929108
Indonesia;IDN;1994;235.6166992
Indonesia;IDN;1995;273.1426697
Indonesia;IDN;1996;292.3308105
Indonesia;IDN;1997;345.4611206
Indonesia;IDN;1998;368.9713135
Indonesia;IDN;1999;397.9725342
